objid,specobjid,u,g,r,i,z_mag,z,zErr,velDisp,snMedian,class,subClass,type,petroR50_r,petroR90_r,q_r,u_r,fracDeV_r,flags,plate,mjd,fiberID,ra,dec
1237663542609838270,4.2000742449416806e+17,25.36423,23.84239,22.71444,21.81713,21.26674,0.08191887,1.15505e-05,121.0042,10.16239,GALAXY,STARFORMING,3,0.4926183,1.062742,0.09368636,-0.08591975,0.0,105624285352208,373.0,51788.0,170.0,331.66405522483547,-0.4841546865670835
1237660222063313094,4.210868700850688e+17,24.25105,22.82115,22.7092,22.61205,21.53189,0.1152521,1.129414e-05,130.8559,9.826182,GALAXY,STARBURST,3,1.343321,1.626255,-0.1763324,0.3126256,0.0,246361773703440,374.0,51791.0,1.0,334.53657795329127,-1.1890306795735184
1237660222066524290,4.256031200520704e+17,19.21582,17.54294,16.86573,16.5022,16.2098,0.1094177,3.393584e-05,137.83,11.73564,GALAXY,,3,2.340097,6.604402,-0.0368587,0.04505284,0.5802768,35253360136792,378.0,52146.0,47.0,341.9024899263222,-1.1274181175484184
1237660237098057905,4.257243412090327e+17,23.58498,24.19665,22.82146,22.96749,23.26214,0.1068157,7.633449e-06,82.39413,8.297807,GALAXY,STARBURST,6,0.4331132,1.006662,-0.01961828,0.001509385,0.93823,387097114579216,378.0,52146.0,488.0,341.3433051172792,0.6581762089777219
1237657191974568096,4.302452526080594e+17,24.69387,23.04111,24.47379,23.2119,23.39722,0.1185012,2.047837e-05,131.651,19.09189,GALAXY,BROADLINE,6,0.1791582,0.2906683,0.6235152,-0.8180822,0.0,316728336843024,382.0,51816.0,551.0,349.94873613904883,0.7211281648148632
1237663544231985280,4.3471889007381094e+17,24.94749,23.33932,23.54481,23.83798,22.17381,0.03771046,6.160083e-06,117.0408,9.141489,GALAXY,STARBURST,3,0.7202002,1.333629,0.09270304,-0.6140277,0.0,527834602934544,386.0,51788.0,442.0,357.963392786544,0.7618622016608014
1237663542612918496,7.589206206909256e+17,22.97832,25.11395,24.80207,24.36165,22.83591,0.1194623,1.108852e-05,132.9525,12.49678,GALAXY,STARFORMING,6,-9999.0,-9999.0,0.3874122,0.3825123,1.0,316730484195600,674.0,52201.0,233.0,338.7069153309644,-0.4233583255034035
1237659906386755736,7.601245924496773e+17,25.17014,22.91825,21.66343,21.54954,23.1963,0.1266642,8.017171e-06,288.6014,15.72152,GALAXY,STARBURST,3,0.832039,1.306403,0.05299633,-0.06071722,0.0,387099262058768,675.0,52590.0,517.0,341.38693618689695,0.4445094577040834
1237660025570197557,7.611482308629238e+17,17.71871,16.41746,15.70007,15.1512,14.87976,0.05846611,2.05494e-05,183.5893,37.1861,GALAXY,STARBURST,3,2.162028,6.303201,0.05477585,0.0266262,0.7603015,35219000397840,676.0,52178.0,145.0,343.3873880193196,-0.4118786618495701
1237653010825675591,7.71314590670678e+17,24.34138,23.61194,22.62393,21.70324,21.13703,0.1106792,5.962997e-06,99.99509,11.98979,GALAXY,STARBURST,3,0.3665927,0.5542725,-0.2223875,-0.2045586,1.0,527834569376088,685.0,52203.0,266.0,359.57677448751195,-1.257976104056403
1237666340773429963,1.1091546604149412e+18,22.5048,21.22614,20.31734,19.86663,19.56923,-0.0001963201,5.389705e-05,0.0,2.774072,STAR,K5,6,0.8230934,1.332136,-0.08530997,0.02820621,0.0,68987912192,985.0,52431.0,521.0,316.8264853655866,1.1275938562149417
1237657190887916117,1.1563415784244122e+18,19.6216,18.75409,18.27631,17.99583,17.85174,0.1315478,5.298112e-06,67.09273,8.325306,GALAXY,STARBURST,3,2.113999,4.760537,0.08069646,-0.02259378,0.7724777,439873639153920,1027.0,52557.0,154.0,320.5165192272136,-0.0367513536211315
1237660237089342299,1.1564666478720717e+18,24.02568,23.12225,22.50919,23.36735,23.24452,0.1361353,6.811686e-06,85.94872,6.960854,GALAXY,STARBURST,3,0.6214547,1.11267,-0.06119382,-0.223232,0.0,316728370402064,1027.0,52557.0,609.0,321.485474455132,0.7294580118929721
1237656568652824840,1.1575158623290266e+18,22.98993,22.42889,21.8978,21.67547,22.4078,0.1134286,6.162606e-06,0.0,9.067451,GALAXY,STARBURST,3,0.6420457,1.007306,-0.01369681,0.006919358,0.0,105622137864208,1028.0,52884.0,330.0,321.32471390705587,0.1775163206071115
1237666660232069341,1.2272490891046031e+18,23.64218,23.05369,22.98128,24.5294,23.56185,0.03926883,5.868696e-06,83.04568,5.392872,GALAXY,STARBURST,3,0.9060889,2.074294,-0.1033593,0.1579623,0.0,246359626223960,1090.0,52903.0,66.0,2.2593331311436504,-1.020835830620614
1237663479258612126,1.244293993806719e+18,26.13353,22.91008,22.52631,21.69678,21.60557,0.08695799,2.188712e-05,164.0487,19.16526,GALAXY,,3,0.6511937,1.372734,0.3171926,0.4417527,0.4461101,105656497602904,1105.0,52937.0,635.0,332.91917453808173,0.1914963939743404
1237658190535262421,1.35794308458692e+18,19.37618,18.69129,18.31882,18.02351,17.88029,0.1435921,8.137207e-06,127.6688,6.929883,GALAXY,STARBURST,3,1.739122,4.069243,-0.01182014,0.04306415,0.3721478,68987912192,1206.0,52670.0,392.0,122.94614452664273,27.616521705684217
1237660344465424571,1.359073932329642e+18,22.38975,21.1964,21.19266,21.43202,20.437,0.07828501,7.719054e-06,41.32447,9.82583,GALAXY,STARFORMING,3,0.9733999,1.5065,-0.1789534,-0.01224052,0.0,105624285352024,1207.0,52672.0,410.0,126.23910464390148,30.144559920228343
1237660764294086740,1.4220506604377477e+18,18.54647,17.80958,17.626,17.3419,17.39813,0.0843416,6.077633e-06,43.60783,12.18546,GALAXY,STARBURST,3,1.320439,3.735051,-0.01370195,0.1038819,0.9869952,103347786496,1263.0,52708.0,142.0,116.7820249098177,20.05029405421352
1237660764295397973,1.423171887403395e+18,26.02016,24.88819,23.00385,21.90672,21.45751,0.1022897,1.75889e-05,0.0,3.811682,GALAXY,,6,0.3334271,0.4823062,0.07614304,-0.07546633,1.0,105624285217040,1264.0,52707.0,125.0,119.3910913409382,21.93575152155688
1237660764833513759,1.424304109468543e+18,18.04403,17.09022,16.75828,16.60418,16.58253,0.05990662,6.13347e-06,64.43365,14.40973,GALAXY,STARBURST,6,0.7749498,1.74679,0.01150381,-0.01229416,0.0,35255541039120,1265.0,52705.0,148.0,121.4378807009308,24.1100368664986
1237660765373989178,,21.32838,21.28758,21.55595,21.79022,22.82692,,,,,,,3,0.7757702,1.3646,-0.03207074,0.0183132,0.0,105622137733392,,,,128.3984209615362,29.499255296095644
1237662306203468065,1.7688863885576376e+18,20.49889,19.27477,18.66085,18.19532,18.05049,0.1403381,6.151981e-06,100.9381,14.55628,GALAXY,STARBURST,3,1.257542,3.235452,-0.003578642,0.02224026,0.6195308,123214290354192,1571.0,53174.0,355.0,247.46281666575447,22.64346291320236
